School,SchoolCategory,District,Year,mathNLImet,mathLImet,SchoolType,LowIncome,ELL,SpecialEd,Enrollment,NLIGradRate,LIGradRate
ALMIRA COULEE HARTLI,High,COULEE-HARTLINE SD,2008,69.23,,Public,41.67,0,,24,100,
ALMIRA ELEMENTARY,Comprehensive,ALMIRA SD,2010,68.29,37.93,Public,39.73,0,,73,,
ALMIRA ELEMENTARY SC,Comprehensive,ALMIRA SD,2009,78.57,36,Public,31.33,0,,83,,
ALMIRA ELEMENTARY SC,Comprehensive,ALMIRA SD,2008,80.77,44.83,Public,35.8,0,13.58,81,,
ALPAC ELEMENTARY SCH,Elem,AUBURN SD,2008,59.83,50,Public,54.41,16.86,13.03,261,,
ALPAC ELEMENTARY SCH,Elem,AUBURN SD,2010,67.47,56.12,Public,62.93,14.66,14.22,232,,
ALPAC ELEMENTARY SCH,Elem,AUBURN SD,2009,67.92,43.75,Public,56.5,15.85,14.63,246,,
ALT ED AT NV,Comprehensive,NOOKSACK SD,2010,,,Public,,0,0,,,
ALTERNATIVE BANCROFT,Comprehensive,SPOKANE SD,2009,,5.45,Alternative,,,,60,,25
ALTERNATIVE BANCROFT,Comprehensive,SPOKANE SD,2008,0,6.25,Alternative,,,,72,,
ALTERNATIVE EDUCATIO,High,WALLA WALLA SD,2008,,,Alternative,,,,1,58.72,23.81
ALTERNATIVE EDUCATIO,High,WALLA WALLA SD,2009,0,0,Alternative,,,,,42.42,27.27
ALTERNATIVE EDUCATIO,High,WALLA WALLA SD,2010,0,0,Alternative,0,0,0,,,
ALTERNATIVE HIGH SCH,High,CENTRAL KITSAP SD,2010,11.76,6.67,Alternative,41.67,0,,36,62.82,81.82
ALTERNATIVE HIGH SCH,High,CENTRAL KITSAP SD,2009,14.71,8.33,Alternative,,,,50,99.01,
ALTERNATIVE HIGH SCH,High,CENTRAL KITSAP SD,2008,23.08,15.38,Alternative,,,,48,51.89,44.87
ALTERNATIVE SCHOOL,High,METHOW VALLEY SD,2008,,,Alternative,,,,3,50,
ALTERNATIVE SCHOOL,High,METHOW VALLEY SD,2009,0,0,Alternative,,,,,,
ALTERNATIVE SCHOOL,High,METHOW VALLEY SD,2010,0,0,Alternative,,0,0,,,
ALTERNATIVE TAMARACK,Comprehensive,SPOKANE SD,2008,,,Alternative,,,,12,,
ALTERNATIVE TAMARACK,Comprehensive,SPOKANE SD,2009,0,,Alternative,,,,11,,
