School,SchoolCategory,District,Year,mathNLImet,mathLImet,SchoolType,LowIncome,ELL,SpecialEd,Enrollment,NLIGradRate,LIGradRate
SOUTH SOUND HIGH SCH,High,NORTH THURSTON PS,2010,,11.76,Alternative,66.67,,,30,42.71,61.79
SOUTH SOUND HIGH SCH,High,NORTH THURSTON PS,2008,0,11.76,Alternative,,,,33,23.05,72.8
SOUTH SOUND HIGH SCH,High,NORTH THURSTON PS,2009,8.33,13.64,Alternative,,,,60,4.33,49.61
SOUTH WHIDBEY ELEMEN,Elem,SOUTH WHIDBEY SD,2010,58.69,41.67,Public,31.09,,16.35,312,,
SOUTH WHIDBEY HIGH S,High,SOUTH WHIDBEY SD,2010,46.85,28,Public,18.62,0,6.9,145,92.27,88.46
SOUTH WHIDBEY HIGH S,High,SOUTH WHIDBEY SD,2009,55.2,34.62,Public,16.77,0,6.45,155,88.75,71.72
SOUTH WHIDBEY HIGH S,High,SOUTH WHIDBEY SD,2008,57.85,50,Public,10.71,,12.86,140,95.77,83.95
SOUTH WHIDBEY INTERM,Elem,SOUTH WHIDBEY SD,2008,58.48,40.96,Public,22.19,,13.64,374,,
SOUTH WHIDBEY INTERM,Elem,SOUTH WHIDBEY SD,2009,67.04,44.71,Public,24.65,,15.41,357,,
SOUTH WHIDBEY PRIMAR,Elem,SOUTH WHIDBEY SD,2008,,,Public,,0,,10,,
SOUTH WHIDBEY PRIMAR,Elem,SOUTH WHIDBEY SD,2009,80,,Public,,0,0,15,,
SOUTH WHIDBEY SPECIA,Elem,SOUTH WHIDBEY SD,2009,,,Alternative,,,,,,
SOUTH WHIDBEY SPECIA,Elem,SOUTH WHIDBEY SD,2010,0,0,Alternative,0,0,,,,
SOUTHERN HEIGHTS ELE,Elem,HIGHLINE SD,2009,52.08,33.95,Public,77.17,15.98,15.53,219,,
SOUTHERN HEIGHTS ELE,Elem,HIGHLINE SD,2010,52.5,44.44,Public,55.3,21.2,13.82,217,,
SOUTHERN HEIGHTS ELE,Elem,HIGHLINE SD,2008,57.38,28.93,Public,67.54,13.09,17.28,191,,
SOUTHGATE ELEMENTARY,Elem,CLOVER PARK SD,2010,52.63,57.75,Public,90.65,31.31,7.94,214,,
SOUTHGATE ELEMENTARY,Elem,CLOVER PARK SD,2008,57.89,34.45,Public,87.86,41.62,9.25,173,,
SOUTHGATE ELEMENTARY,Elem,CLOVER PARK SD,2009,68.75,39.26,Public,91.39,38.28,7.18,209,,
SOUTHGATE ELEMENTARY,Elem,KENNEWICK SD,2010,72.25,56.32,Public,31.15,3.61,11.8,305,,
SOUTHGATE ELEMENTARY,Elem,KENNEWICK SD,2009,76.42,55.84,Public,25.56,,13.1,313,,
SOUTHGATE ELEMENTARY,Elem,KENNEWICK SD,2008,77.08,56.14,Public,18.85,,11.18,313,,
SOUTHRIDGE HIGH SCHO,High,KENNEWICK SD,2009,54.51,31.18,Public,27.92,3.99,8.83,351,77.11,49.86
SOUTHRIDGE HIGH SCHO,High,KENNEWICK SD,2010,58.04,35.42,Public,32.68,3.94,6.76,355,83.04,75.03
SOUTHRIDGE HIGH SCHO,High,KENNEWICK SD,2008,65.2,45.54,Public,30,,8.95,380,73.47,54.01
SOUTHSIDE ELEMENTARY,Elem,SOUTHSIDE SD,2010,53.01,35.48,Public,42.76,,11.03,145,,
SOUTHSIDE ELEMENTARY,Elem,SOUTHSIDE SD,2008,56.12,34.55,Public,36.54,,15.38,156,,
SOUTHSIDE ELEMENTARY,Elem,SOUTHSIDE SD,2009,59.79,31.48,Public,36.6,,13.07,153,,
SOUTHWOOD ELEMENTARY,Elem,ENUMCLAW SD,2010,65.38,43.08,Public,34.34,,18.69,198,,
SOUTHWOOD ELEMENTARY,Elem,ENUMCLAW SD,2008,70.07,55.81,Public,24.04,,7.1,183,,
SOUTHWOOD ELEMENTARY,Elem,ENUMCLAW SD,2009,71.9,50,Public,32.6,,9.94,181,,
SOUTHWORTH ELEMENTAR,Elem,YELM SD,2009,69.51,45.54,Public,40.79,,11.91,277,,
SOUTHWORTH ELEMENTAR,Elem,YELM SD,2008,69.72,52.27,Public,38.63,0,8.58,233,,
SOUTHWORTH ELEMENTAR,Elem,YELM SD,2010,69.83,46.34,Public,40.79,,14.14,304,,
SPANAWAY ELEMENTARY,Elem,BETHEL SD,2010,41.11,29.55,Public,59.64,0,23.77,223,,
SPANAWAY ELEMENTARY,Elem,BETHEL SD,2008,69.7,43.8,Public,48.03,0,15.35,254,,
SPANAWAY ELEMENTARY,Elem,BETHEL SD,2009,70.49,35.76,Public,55.27,0,15.64,275,,
SPANAWAY JUNIOR HIGH,Middle,BETHEL SD,2010,41.79,29.61,Public,55.57,2.58,14.54,619,,
SPANAWAY JUNIOR HIGH,Middle,BETHEL SD,2008,42.71,25.29,Public,47.37,3.33,14.91,570,,
SPANAWAY JUNIOR HIGH,Middle,BETHEL SD,2009,45.75,31.1,Public,49.03,4.85,15.21,618,,
SPANAWAY LAKE HIGH S,High,BETHEL SD,2010,33.18,15.03,Public,43.73,3.07,14.83,391,73.17,60.96
SPANAWAY LAKE HIGH S,High,BETHEL SD,2009,37.08,15.38,Public,44.54,2.23,12.03,449,86.13,69.71
SPANAWAY LAKE HIGH S,High,BETHEL SD,2008,41.7,25.32,Public,41.3,,15.22,414,86.7,76.1
SPECIAL ED SCHOOL,Comprehensive,AUBURN SD,2008,,,Alternative,,,,6,,
SPECIAL ED SCHOOL,Comprehensive,AUBURN SD,2009,0,0,Alternative,,,,,,
SPECIAL ED SCHOOL,Comprehensive,AUBURN SD,2010,0,0,Alternative,0,0,90.91,11,,
SPECIAL ED SCHOOL,Comprehensive,ENUMCLAW SD,2008,,,Alternative,,,,4,,
SPECIAL ED SCHOOL,Comprehensive,ENUMCLAW SD,2009,0,0,Alternative,,,,,,
SPECIAL ED SCHOOL,Comprehensive,ENUMCLAW SD,2010,0,0,Alternative,,0,,,,
SPECIAL EDUCATION,Comprehensive,OAK HARBOR SD,2010,,,Public,0,0,0,,,
SPECIAL EDUCATION,Comprehensive,PORT ANGELES SD,2008,,,Alternative,,,,3,,
SPECIAL EDUCATION,Comprehensive,PORT ANGELES SD,2009,0,0,Alternative,,,,,,
SPECIAL EDUCATION,Comprehensive,PORT ANGELES SD,2010,0,0,Alternative,,0,,,,
SPECIAL EDUCATION CO,Comprehensive,EDMONDS SD,2008,5.26,,Alternative,,,,22,,
SPECIAL EDUCATION CO,Comprehensive,EDMONDS SD,2009,9.09,,Alternative,,,,15,,
SPECIAL EDUCATION CO,Comprehensive,EDMONDS SD,2010,11.76,,Alternative,,0,94.74,19,,
SPECIAL EDUCATION PR,Comprehensive,EASTMONT SD,2010,0,,Public,0,0,0,17,,
SPECIAL EDUCATION SC,Comprehensive,WENATCHEE SD,2008,,,Alternative,,,,1,,
SPECIAL EDUCATION SC,Comprehensive,WENATCHEE SD,2009,0,0,Alternative,,,,,,
SPECIAL EDUCATION SC,Comprehensive,WENATCHEE SD,2010,0,0,Alternative,0,,,,,
SPECIAL EDUCATION SE,Comprehensive,CLOVER PARK SD,2008,,,Alternative,,,,7,,
SPECIAL EDUCATION SE,Comprehensive,CLOVER PARK SD,2009,0,0,Alternative,,,,,,
SPECIAL EDUCATION SE,Comprehensive,CLOVER PARK SD,2010,0,0,Alternative,0,0,,,,
SPECIAL PROGRAMS,Comprehensive,NORTH KITSAP SD,2008,,,Alternative,,,,5,,
SPECIAL PROGRAMS,Comprehensive,NORTH KITSAP SD,2009,0,0,Alternative,,,,,,
SPECIAL PROGRAMS,Comprehensive,NORTH KITSAP SD,2010,0,0,Alternative,,0,,,,
SPECIAL PROGRAMS,Comprehensive,RICHLAND SD,2008,,,Alternative,,,,6,,
SPECIAL PROGRAMS,Comprehensive,RICHLAND SD,2009,0,0,Alternative,,,,,,
SPECIAL PROGRAMS,Comprehensive,RICHLAND SD,2010,0,0,Alternative,,0,,,,
SPECIAL SERVICES,Comprehensive,BREMERTON SD,2010,,,Alternative,0,0,0,,,
SPECIAL SERVICES,Comprehensive,BREMERTON SD,2009,0,,Alternative,,,,13,,
SPECIAL SERVICES,Comprehensive,CLARKSTON SD,2008,,,Alternative,,,,9,,
SPECIAL SERVICES,Comprehensive,CLARKSTON SD,2009,0,0,Alternative,,,,12,,
SPECIAL SERVICES,Comprehensive,CLARKSTON SD,2010,0,0,Alternative,,0,100,15,,
SPECIAL SERVICES,Comprehensive,EVERETT SD,2010,,,Alternative,,0,,10,,
SPECIAL SERVICES,Comprehensive,MUKILTEO SD,2009,,,Alternative,,,,,,
SPECIAL SERVICES,Comprehensive,MUKILTEO SD,2010,0,0,Alternative,,0,100,10,,
SPECIAL SERVICES SCH,Comprehensive,EVERGREEN (CLARK)SD,2008,,,Alternative,,,,3,,
SPECIAL SERVICES SCH,Comprehensive,EVERGREEN (CLARK)SD,2009,0,0,Alternative,,,,,,
SPECIAL SERVICES SCH,Comprehensive,EVERGREEN (CLARK)SD,2010,0,0,Alternative,,0,,,,
SPECTRUM COMMUNITY S,High,NORTH KITSAP SD,2008,,,Alternative,,,,17,48.8,31.2
SPECTRUM COMMUNITY S,High,NORTH KITSAP SD,2009,0,0,Alternative,,,,13,13.89,64.17
SPINNING ELEMENTARY,Elem,PUYALLUP SD,2010,52.08,42.16,Public,52.24,4.98,21.39,201,,
SPINNING ELEMENTARY,Elem,PUYALLUP SD,2009,59.18,40.91,Public,50,6.06,20.2,198,,
SPINNING ELEMENTARY,Elem,PUYALLUP SD,2008,61.9,51.81,Public,45.6,,22.8,193,,
SPIRITRIDGE ELEMENTA,Elem,BELLEVUE SD,2008,84.07,66.67,Public,18.57,,15,140,,
SPIRITRIDGE ELEMENTA,Elem,BELLEVUE SD,2010,85.59,55.17,Public,26.97,9.87,12.5,152,,
SPIRITRIDGE ELEMENTA,Elem,BELLEVUE SD,2009,87.04,66.67,Public,20.29,,13.04,138,,
SPOKANE AREA PROFESS,High,SPOKANE SD,2009,,,Public,,0,0,,,
SPOKANE JUVENILE DET,Comprehensive,ESD 101,2008,,,Alternative,,,,29,,
SPOKANE JUVENILE DET,Comprehensive,ESD 101,2009,0,0,Alternative,,,,36,,
SPOKANE JUVENILE DET,Comprehensive,ESD 101,2010,0,0,Alternative,82.76,0,,29,,
SPOKANE VALLEY HIGH,High,WEST VLY (SPK)SD,2008,,,Alternative,,,,15,,
SPOKANE VALLEY HIGH,High,WEST VLY (SPK)SD,2009,6.67,18.18,Alternative,,,,28,76.92,100
SPOKANE VALLEY HIGH,High,WEST VLY (SPK)SD,2010,9.09,9.09,Alternative,45.83,,,24,,80
SPOKANE VALLEY LEARN,Comprehensive,CENTRAL VALLEY SD,2010,34.88,34.62,Alternative,37.68,0,,69,,
SPOKANE VALLEY LEARN,Comprehensive,CENTRAL VALLEY SD,2009,43.14,36.36,Alternative,,,,74,,
SPOKANE VALLEY LEARN,Comprehensive,CENTRAL VALLEY SD,2008,52.94,,Alternative,,,,60,,
SPOKANE VALLEY TRANS,High,WEST VLY (SPK)SD,2009,4.55,0,Alternative,,,,47,22.93,38.21
SPOKANE VALLEY TRANS,High,WEST VLY (SPK)SD,2008,13.33,12.5,Alternative,,,,35,35.34,23.01
SPOKANE VALLEY TRANS,High,WEST VLY (SPK)SD,2010,16.67,11.76,Alternative,57.58,0,,33,40.59,42.78
SPRAGUE ELEMENTARY,Elem,SPRAGUE SD,2009,,60,Public,68.18,0,,22,,
SPRAGUE ELEMENTARY,Elem,SPRAGUE SD,2010,0,64.29,Public,60.87,0,,23,,
SPRAGUE ELEMENTARY,Elem,SPRAGUE SD,2008,72.73,50,Public,62.07,0,,29,,
SPRAGUE HIGH SCHOOL,High,SPRAGUE SD,2009,,,Public,,0,,10,,
SPRAGUE HIGH SCHOOL,High,SPRAGUE SD,2010,0,0,Public,,0,,,,
SPRAGUE HIGH SCHOOL,High,SPRAGUE SD,2008,0,70,Public,76.92,0,,13,,
SPRINGBROOK ELEMENTA,Elem,KENT SD,2008,50,26.02,Public,58.23,18.47,18.07,249,,
SPRINGBROOK ELEMENTA,Elem,KENT SD,2009,55.29,36.64,Public,63.33,20.42,14.58,240,,
SPRINGBROOK ELEMENTA,Elem,KENT SD,2010,61.43,45.52,Public,68.44,20.89,13.33,225,,
SPRINGDALE ACADEMY,Comprehensive,MARY WALKER SD,2008,,,Alternative,,,,4,,
SPRINGDALE ACADEMY,Comprehensive,MARY WALKER SD,2009,0,0,Alternative,,,,,,
SPRINGDALE ACADEMY,Comprehensive,MARY WALKER SD,2010,0,0,Alternative,,0,,,,
SPRINGDALE ELEMENTAR,Elem,MARY WALKER SD,2010,50,49.23,Public,84.42,0,28.57,77,,
SPRINGDALE ELEMENTAR,Elem,MARY WALKER SD,2009,0,59.42,Public,85.54,0,18.07,83,,
SPRINGDALE ELEMENTAR,Elem,MARY WALKER SD,2008,83.33,57.14,Public,85.37,0,14.63,82,,
SPRINGDALE MIDDLE SC,Middle,MARY WALKER SD,2010,40,30.77,Public,79.8,0,15.15,99,,
SPRINGDALE MIDDLE SC,Middle,MARY WALKER SD,2009,46.43,29.76,Public,75,0,16.96,112,,
SPRINGDALE MIDDLE SC,Middle,MARY WALKER SD,2008,52,31.52,Public,78.63,0,23.08,117,,
SPRUCE ELEMENTARY,Elem,EDMONDS SD,2009,51.2,41.05,Public,36.4,18.73,10.95,283,,
SPRUCE ELEMENTARY,Elem,EDMONDS SD,2008,60.47,36.97,Public,49.81,17.47,10.41,269,,
SPRUCE ELEMENTARY,Elem,EDMONDS SD,2010,74.74,64.42,Public,54.72,20.28,15.09,212,,
SQUALICUM HIGH SCHOO,High,BELLINGHAM SD,2010,56.91,28.04,Public,40.13,5.73,12.42,314,67.16,60.25
SQUALICUM HIGH SCHOO,High,BELLINGHAM SD,2009,58.91,30.63,Public,35.71,4.66,11.49,322,74.75,73.78
SQUALICUM HIGH SCHOO,High,BELLINGHAM SD,2008,65.18,27.66,Public,30.95,6.59,8.88,349,81.12,69.22
ST JOHN ELEMENTARY,Elem,ST. JOHN SD,2008,60,,Public,0,0,0,61,,
ST JOHN ELEMENTARY,Elem,ST. JOHN SD,2009,68.42,73.68,Public,33.33,0,,57,,
ST JOHN ELEMENTARY,Elem,ST. JOHN SD,2010,86.36,66.67,Public,35.29,0,,34,,
ST JOHN/ENDICOTT HIG,High,ST. JOHN SD,2010,41.67,,Public,,0,,17,100,
ST JOHN/ENDICOTT HIG,High,ST. JOHN SD,2008,55.17,,Public,0,0,0,29,73.54,
ST JOHN/ENDICOTT HIG,High,ST. JOHN SD,2009,65,,Public,,0,0,25,92,
STADIUM,High,TACOMA SD,2010,49.69,14.42,Public,24.72,,11.46,445,94.16,66.79
STADIUM,High,TACOMA SD,2009,56.89,22.48,Public,24.95,,10.51,533,86.77,83.61
STADIUM,High,TACOMA SD,2008,66.86,36.78,Public,22.7,,10.02,489,93.31,94.81
STANLEY,Elem,TACOMA SD,2010,60,48.8,Public,77.11,6.02,24.7,166,,
STANLEY,Elem,TACOMA SD,2008,64,42.14,Public,85.55,6.36,17.34,173,,
STANLEY,Elem,TACOMA SD,2009,75,46.48,Public,86.21,7.47,22.99,174,,
STANTON ALTERNATIVE,High,YAKIMA SD,2008,1.47,2,Alternative,,,,212,11.36,57.22
STANTON ALTERNATIVE,High,YAKIMA SD,2009,1.89,3.08,Alternative,,,,150,31.66,94.15
STANTON ALTERNATIVE,High,YAKIMA SD,2010,12.5,4.94,Alternative,83.97,16.03,,131,65.42,
STANWOOD ELEMENTARY,Elem,STANWOOD SD,2009,68.99,62.9,Public,33.85,,11.28,195,,
STANWOOD ELEMENTARY,Elem,STANWOOD SD,2008,74.36,69.77,Public,23.04,,7.84,204,,
STANWOOD ELEMENTARY,Elem,STANWOOD SD,2010,77.54,71.21,Public,33.65,,9.13,208,,
STANWOOD HIGH SCHOOL,High,STANWOOD SD,2010,53.61,32.5,Public,20.94,,11.29,425,92.3,72.64
STANWOOD HIGH SCHOOL,High,STANWOOD SD,2009,54.35,40,Public,16.83,,11.3,416,86.15,51.75
STANWOOD HIGH SCHOOL,High,STANWOOD SD,2008,62.71,32.79,Public,16.25,,9.03,443,91.15,75.26
STANWOOD MIDDLE SCHO,Middle,STANWOOD SD,2008,57.35,42.15,Public,20.64,,9.6,625,,
STANWOOD MIDDLE SCHO,Middle,STANWOOD SD,2010,62.17,45.34,Public,26.71,,9.7,629,,
STANWOOD MIDDLE SCHO,Middle,STANWOOD SD,2009,67.03,38.82,Public,25.4,,8.84,622,,
STAR ELEM SCHOOL,Elem,STAR SD,2008,,,Public,0,0,0,3,,
STAR ELEM SCHOOL,Elem,STAR SD,2009,0,0,Public,0,0,0,,,
STAR ELEM SCHOOL,Elem,STAR SD,2010,0,0,Public,0,0,0,,,
STAR LAKE ELEMENTARY,Elem,FEDERAL WAY SD,2008,72.17,66.67,Public,49.37,10.55,13.92,237,,
STAR LAKE ELEMENTARY,Elem,FEDERAL WAY SD,2009,74.04,63.28,Public,56.97,11.89,13.11,244,,
STAR LAKE ELEMENTARY,Elem,FEDERAL WAY SD,2010,80.33,66.36,Public,47.72,14.52,15.35,241,,
STARBUCK SCHOOL,Comprehensive,STARBUCK SD,2008,,45.45,Public,55,0,,20,,
STARBUCK SCHOOL,Comprehensive,STARBUCK SD,2009,25,,Public,,0,,22,,
STARBUCK SCHOOL,Comprehensive,STARBUCK SD,2010,75,,Public,0,0,,13,,
STATE STREET HIGH SC,Comprehensive,SEDRO-WOOLLEY SD,2009,7.41,6.9,Alternative,,,,97,30.66,29.38
STATE STREET HIGH SC,Comprehensive,SEDRO-WOOLLEY SD,2010,7.89,13.64,Alternative,35.48,0,17.74,62,38.89,18.91
STATE STREET HIGH SC,Comprehensive,SEDRO-WOOLLEY SD,2008,13.64,3.85,Alternative,,,,82,28.02,37.86
STEHEKIN ELEMENTARY,Comprehensive,STEHEKIN SD,2008,90,,Public,0,0,0,10,,
STEHEKIN ELEMENTARY,Comprehensive,STEHEKIN SD,2009,100,,Public,0,0,0,13,,
STEHEKIN ELEMENTARY,Comprehensive,STEHEKIN SD,2010,0,0,Public,0,0,0,13,,
STEILACOOM HIGH,High,STEILACOOM HIST. SD,2010,46.93,20,Public,17.73,0,10,220,93.22,72.31
STEILACOOM HIGH,High,STEILACOOM HIST. SD,2009,49.68,21.74,Public,13.68,,,190,90.7,79.59
STEILACOOM HIGH,High,STEILACOOM HIST. SD,2008,56.88,41.38,Public,14.72,,8.63,197,81.81,66.03
STELLA SCHOLA,Middle,LAKE WASHINGTON SD,2010,88.04,,Alternative,0,0,,92,,
STELLA SCHOLA,Middle,LAKE WASHINGTON SD,2009,91.95,,Alternative,,,,89,,
STELLA SCHOLA,Middle,LAKE WASHINGTON SD,2008,95.4,,Alternative,,,,89,,
STEPTOE ELEMENTARY S,Comprehensive,STEPTOE SD,2010,36.36,,Public,0,0,,22,,
STEPTOE ELEMENTARY S,Comprehensive,STEPTOE SD,2008,38.1,,Public,0,0,,21,,
STEPTOE ELEMENTARY S,Comprehensive,STEPTOE SD,2009,59.09,,Public,0,0,,22,,
STERLING INTERMEDIAT,Middle,EASTMONT SD,2010,64.86,36.47,Public,46.73,4.31,14.04,627,,
STERLING INTERMEDIAT,Middle,EASTMONT SD,2008,68.42,46.09,Public,42.65,6.13,11.13,701,,
STERLING INTERMEDIAT,Middle,EASTMONT SD,2009,69.81,52.01,Public,46.55,6.75,9.54,681,,
STEVENS ELEMENTARY,Elem,ABERDEEN SD,2010,61.9,55.9,Public,82.5,10.42,15.83,240,,
STEVENS ELEMENTARY,Elem,SPOKANE SD,2008,50,62.92,Public,92.48,5.26,26.69,266,,
STEVENS ELEMENTARY,Elem,SPOKANE SD,2009,59.09,58.01,Public,91.63,7.98,22.43,263,,
STEVENS ELEMENTARY,Elem,SPOKANE SD,2010,74.42,61.58,Public,79.68,10.36,18.33,251,,
STEVENS ELEMENTARY S,Elem,ABERDEEN SD,2008,73.33,54.19,Public,75.31,11.11,15.23,243,,
STEVENS ELEMENTARY S,Elem,ABERDEEN SD,2009,74.47,47.59,Public,80.33,10.88,16.32,239,,
STEVENS ELEMENTARY S,Elem,SEATTLE PS,2008,81.05,44.62,Public,40.99,9.94,16.77,161,,
STEVENS ELEMENTARY S,Elem,SEATTLE PS,2009,90.32,47.76,Public,42.68,7.32,20.12,164,,
STEVENS ELEMENTARY S,Elem,SEATTLE PS,2010,95.41,43.33,Public,37.64,10.11,15.17,178,,
STEVENS MIDDLE SCHOO,Middle,PASCO SD,2010,29.76,16.1,Public,90.44,43.57,15.59,879,,
STEVENS MIDDLE SCHOO,Middle,PASCO SD,2009,34.57,21.12,Public,90.14,42.02,12.32,852,,
STEVENS MIDDLE SCHOO,Middle,PASCO SD,2008,36.14,19.77,Public,89.72,39.48,10.64,846,,
STEVENS MIDDLE SCHOO,Middle,PORT ANGELES SD,2008,70.43,47.76,Public,39.84,,14.03,620,,
STEVENS MIDDLE SCHOO,Middle,PORT ANGELES SD,2009,74.17,51.52,Public,46.77,,12.22,573,,
STEVENS MIDDLE SCHOO,Middle,PORT ANGELES SD,2010,79.18,59.15,Public,47.52,,12.25,604,,
STEVENSON ELEMENTARY,Elem,BELLEVUE SD,2008,88.8,68.33,Public,26.33,13.02,4.73,338,,
STEVENSON ELEMENTARY,Elem,BELLEVUE SD,2009,93.36,47.69,Public,28.66,12.77,5.92,321,,
STEVENSON ELEMENTARY,Elem,BELLEVUE SD,2010,93.75,51.28,Public,35.11,17.55,8.78,376,,
STEVENSON HIGH SCHOO,High,STEVENSON SD,2008,37.93,28.57,Public,40.2,0,11.76,102,75.26,66.97
STEVENSON HIGH SCHOO,High,STEVENSON SD,2009,39.13,25.64,Public,45.45,0,12.5,88,80.74,85.68
STEVENSON HIGH SCHOO,High,STEVENSON-CARSON SD,2010,39.02,23.08,Public,49.41,0,,85,86.62,62.47
STEWART,Middle,TACOMA SD,2010,26.06,23.81,Public,72.1,1.96,16.11,509,,
STEWART,Middle,TACOMA SD,2008,40.14,25.59,Public,72.59,,15.19,540,,
STEWART,Middle,TACOMA SD,2009,46.25,26.26,Public,70.22,,13.97,544,,
STEWART ELEMENTARY,Elem,PUYALLUP SD,2008,65.82,52.86,Public,46.98,,14.09,149,,
STEWART ELEMENTARY,Elem,PUYALLUP SD,2010,67.53,53.09,Public,52.76,,9.82,163,,
STEWART ELEMENTARY,Elem,PUYALLUP SD,2009,74.03,64.52,Public,45,,10,140,,
STILLAGUAMISH SCHOOL,Comprehensive,ARLINGTON SD,2010,17.86,,Alternative,,0,,176,34.15,
STILLAGUAMISH SCHOOL,Comprehensive,ARLINGTON SD,2008,20.63,,Alternative,,,,135,,
STILLAGUAMISH SCHOOL,Comprehensive,ARLINGTON SD,2009,20.71,,Alternative,,,,146,78.97,
STILLWATER ELEMENTAR,Elem,RIVERVIEW SD,2008,63.76,42.31,Public,11.29,,13.71,248,,
STILLWATER ELEMENTAR,Elem,RIVERVIEW SD,2010,65.82,29.41,Public,15.09,,12.5,232,,
STILLWATER ELEMENTAR,Elem,RIVERVIEW SD,2009,70.28,39.29,Public,12.03,,12.86,241,,
STRATTON ELEMENTARY,Elem,NEWPORT SD,2009,76.67,51.89,Public,64.07,0,19.76,167,,
STRATTON ELEMENTARY,Elem,NEWPORT SD,2010,80.77,69.37,Public,68.1,0,15.34,163,,
STRATTON ELEMENTARY,Elem,NEWPORT SD,2008,81.82,53.19,Public,63.33,0,14,150,,
STRUCTURAL ALT CONFI,High,ESD 101,2009,,,Alternative,,,,10,,
STRUCTURAL ALT CONFI,High,ESD 101,2010,0,0,Alternative,,0,0,11,,
STRUCTURAL ALT CONFI,High,ESD 101,2008,0,0,Alternative,,,,22,,
STUART ISLAND ELEMEN,Elem,SAN JUAN ISSD,2009,,,Public,0,0,0,,,
STUART ISLAND ELEMEN,Elem,SAN JUAN ISSD,2010,0,0,Public,0,0,0,,,
STUDENT LINK,High,VASHON ISLAND SD,2008,,,Alternative,,,,4,35,
STUDENT LINK,High,VASHON ISLAND SD,2009,0,0,Alternative,,,,,,
STUDENT LINK,High,VASHON ISLAND SD,2010,0,0,Alternative,0,0,,,,
SULTAN ELEMENTARY SC,Elem,SULTAN SD,2009,67.55,54.76,Public,46.48,5.99,8.45,284,,
SULTAN ELEMENTARY SC,Elem,SULTAN SD,2008,73.25,57.35,Public,47.18,7.64,10.63,301,,
SULTAN ELEMENTARY SC,Elem,SULTAN SD,2010,74.6,64.39,Public,51.71,6.84,7.98,263,,
SULTAN MIDDLE SCHOOL,Middle,SULTAN SD,2008,50.16,29.44,Public,37,2.2,12.6,500,,
SULTAN MIDDLE SCHOOL,Middle,SULTAN SD,2010,50.6,33.8,Public,46.25,3,10.28,467,,
SULTAN MIDDLE SCHOOL,Middle,SULTAN SD,2009,53.41,29.77,Public,44.75,2.97,11.09,505,,
SULTAN SENIOR HIGH S,High,SULTAN SD,2009,34.17,25.45,Public,31.84,,15.64,179,82.41,55.19
SULTAN SENIOR HIGH S,High,SULTAN SD,2010,34.78,27.27,Public,32.37,,17.99,139,87.47,57.14
SULTAN SENIOR HIGH S,High,SULTAN SD,2008,47.06,34.88,Public,24.43,,12.5,176,80.46,74.51
SUMAS ELEMENTARY,Elem,NOOKSACK SD,2008,71.05,40.91,Public,54.22,12.05,21.69,83,,
SUMAS ELEMENTARY,Elem,NOOKSACK SD,2009,79.17,54,Public,52.94,9.8,18.63,102,,
SUMAS ELEMENTARY,Elem,NOOKSACK SD,2010,91.3,67.44,Public,50,,23.91,92,,
SUMMIT K-12,Comprehensive,SEATTLE PS,2008,52.94,30.27,Alternative,,,,343,72.73,63.53
SUMMIT K-12,Comprehensive,SEATTLE PS,2009,55.4,23.49,Alternative,,,,293,30.56,30.36
SUMMIT SCHOOL,Comprehensive,CENTRAL VALLEY SD,2009,70,66.67,Public,24.44,,8.44,225,,
SUMMIT SCHOOL,Comprehensive,CENTRAL VALLEY SD,2010,71.52,44.83,Public,27.75,,12.92,209,,
SUMMIT SCHOOL,Comprehensive,CENTRAL VALLEY SD,2008,71.86,51.85,Public,24.32,,7.21,222,,
SUMMIT VALLEY SCHOOL,Comprehensive,SUMMIT VALLEY SD,2008,13.04,65.62,Public,58.18,0,,55,,
SUMMIT VALLEY SCHOOL,Comprehensive,SUMMIT VALLEY SD,2009,16,55.26,Public,60.94,0,15.62,64,,
SUMMIT VALLEY SCHOOL,Comprehensive,SUMMIT VALLEY SD,2010,33.33,48.48,Public,45.83,0,,72,,
SUMMIT VIEW HIGH SCH,High,BATTLE GROUND SD,2009,16.18,40.74,Alternative,,,,107,47.91,30.88
SUMMIT VIEW HIGH SCH,High,BATTLE GROUND SD,2008,19.12,22.73,Alternative,,,,104,29.04,38.01
SUMMIT VIEW HIGH SCH,High,BATTLE GROUND SD,2010,20.75,8,Alternative,29.03,11.83,,93,18.59,21.42
SUMMITVIEW ELEMENTAR,Elem,WEST VLY (YAK)SD,2010,51.11,47.14,Public,43.75,0,20.62,160,,
SUMMITVIEW ELEMENTAR,Elem,WEST VLY (YAK)SD,2009,74.73,68.52,Public,37.24,0,15.17,145,,
SUMMITVIEW ELEMENTAR,Elem,WEST VLY (YAK)SD,2008,79.01,69.84,Public,42.86,,17.69,147,,
SUMNER HIGH SCHOOL,High,SUMNER SD,2010,52.92,22.89,Public,27,,13.06,337,92.01,77.11
SUMNER HIGH SCHOOL,High,SUMNER SD,2009,57.53,32.88,Public,26.42,0,9.43,318,86.85,74.17
SUMNER HIGH SCHOOL,High,SUMNER SD,2008,57.91,40.91,Public,20.06,,7.63,354,87.16,80.86
SUMNER MIDDLE SCHOOL,Middle,SUMNER SD,2010,55.93,31.3,Public,34.78,2.9,13.62,690,,
