School,District,SchoolCategory,SchoolType,LowIncome,ELL,Enrollment,mathLImet
CHASE LAKE ELEMENTAR,EDMONDS SD,Elem,Public,45.44,18.09666667,224.6666667,54.12666667
CHASE MIDDLE SCHOOL,SPOKANE SD,Middle,Public,42.51666667,4.873333333,814,39.84
CHATTAROY ELEMENTARY,RIVERSIDE SD,Elem,Public,54.35333333,0,100,54.06666667
CHAUNCEY DAVIS ELEME,SOUTH BEND SD,Elem,Public,64.61,16.57333333,152.6666667,51.01333333
CHEHALIS MIDDLE SCHO,CHEHALIS SD,Middle,Public,38.86333333,2.283333333,626,34.87666667
CHELAN MIDDLE SCHOOL,LAKE CHELAN SD,Middle,Public,60.48,14.03666667,304.3333333,47.51
CHERRY VALLEY ELEMEN,RIVERVIEW SD,Elem,Public,15.90666667,0,244.3333333,54.47
CHESTER ELEMENTARY S,CENTRAL VALLEY SD,Elem,Public,12.36,0,175,49.72
CHESTER H THOMPSON E,BETHEL SD,Elem,Public,63.38333333,0,328,32.85666667
CHIAWANA HIGH SCHOOL,PASCO SD,High,Public,67.21,20.16,491,16.77
CHIEF JOSEPH MIDDLE,RICHLAND SD,Middle,Public,42.41333333,3.03,716.6666667,26.81
CHIEF KAMIAKIN ELEME,SUNNYSIDE SD,Elem,Public,91.36333333,31.16,382.3333333,38.22333333
CHIEF LESCHI SCHOOLS,PUYALLUP SD,Comprehensive,Alternative,26.485,0,387.5,18.23
CHIEF MOSES MIDDLE S,MOSES LAKE SD,Middle,Public,57.09333333,6.05,905,39.72333333
CHIEF SEALTH HIGH SC,SEATTLE PS,High,Public,54.93,12.68,213,28.41
CHIEF UMTUCH MIDDLE,BATTLE GROUND SD,Middle,Public,39.74,2.39,521,53.465
CHIMACUM HIGH SCHOOL,CHIMACUM SD,High,Public,28.90666667,0,92.66666667,21.88666667
CHIMACUM MIDDLE SCHO,CHIMACUM SD,Middle,Public,38.71,0,229.6666667,29.81
CHINOOK ELEMENTARY S,AUBURN SD,Elem,Public,64.25,6.7,209,38.86
CHINOOK ELEMENTARY S,VANCOUVER SD,Elem,Public,21.08333333,2.57,382.6666667,60.21666667
CHINOOK MIDDLE SCHOO,BELLEVUE SD,Middle,Public,10.94666667,8.28,907.3333333,57.73666667
CHINOOK MIDDLE SCHOO,HIGHLINE SD,Middle,Public,63.76666667,22.38,489.3333333,29.64333333
CHINOOK MIDDLE SCHOO,NORTH THURSTON PS,Middle,Public,41.01,5.473333333,711,37.84333333
CHLOE CLARK ELEMENTA,STEILACOOM HIST. SD,Elem,Public,10.44333333,6.99,191.6666667,60.85333333
CHOICE ALTERNATIVE S,SHELTON SD,Comprehensive,Alternative,57.69,0,77,18.59666667
CHRISTENSEN ELEMENTA,FRANKLIN PIERCE SD,Elem,Public,78.02666667,8.523333333,210,46.11
CLALLAM BAY HIGH & E,CAPE FLATTERY SD,Comprehensive,Public,49.36,0,84.66666667,44.67
CLARK ELEMENTARY,ISSAQUAH SD,Elem,Public,20.76,7.076666667,193,41.52666667
CLARKMOOR ELEMENTARY,CLOVER PARK SD,Elem,Public,38.05333333,0,121.6666667,60.20666667
CLEVELAND HIGH SCHOO,SEATTLE PS,High,Public,68.76333333,15.28333333,165.6666667,17.16
CLOVER CREEK ELEMENT,BETHEL SD,Elem,Public,39.94,0,296.3333333,35.03333333
CLOVER PARK HIGH SCH,CLOVER PARK SD,High,Public,62.09666667,10.31333333,293,22.03666667
CLOVIS POINT,EASTMONT SD,Middle,Public,64.14333333,14.86,589.3333333,48.49333333
CLYDE HILL ELEMENTAR,BELLEVUE SD,Elem,Public,6.556666667,7.096666667,290.3333333,78.89
COE ELEMENTARY SCHOO,SEATTLE PS,Elem,Public,16.84,4.48,234.5,49.925
COLFAX HIGH SCHOOL,COLFAX SD,High,Public,24.95,0,61.33333333,23.86
COLLEGE PLACE ELEMEN,EDMONDS SD,Elem,Public,61.75,26.11333333,299.6666667,44.21
COLLEGE PLACE MIDDLE,EDMONDS SD,Middle,Public,32.90666667,9.24,598.6666667,35.69333333
COLLINS ALTERNATIVE,WHITE RIVER SD,Comprehensive,Alternative,27.94,0,171.6666667,7.58
COLLINS ELEMENTARY,FRANKLIN PIERCE SD,Elem,Public,41.86333333,5.96,205,45.17666667
COLTON SCHOOL,COLTON SD,Comprehensive,Public,16.29,0,92.66666667,43.18
COLUMBIA BASIN SECON,MOSES LAKE SD,Comprehensive,Alternative,78.69,0,124.3333333,22.69666667
COLUMBIA ELEMENTARY,BELLINGHAM SD,Elem,Public,28.51666667,0,113.6666667,65.61666667
COLUMBIA ELEMENTARY,COLUMBIA (WALLA)SD,Elem,Public,48.29,13.36333333,196,40.47333333
COLUMBIA ELEMENTARY,MUKILTEO SD,Elem,Public,23.19,5.546666667,318.6666667,58.45333333
COLUMBIA ELEMENTARY,WENATCHEE SD,Elem,Public,87.8,40.31,207.3333333,46.97
COLUMBIA HIGH AND EL,COLUMBIA (STEV)SD,Comprehensive,Public,78.37666667,0,120,38.88666667
COLUMBIA JUNIOR HIGH,FIFE SD,Middle,Public,34.97666667,6.94,267.3333333,38.02333333
COLUMBIA MIDDLE SCHO,COLUMBIA (WALLA)SD,Middle,Public,44.57333333,7.25,238.3333333,33.82333333
COLUMBIA RIDGE ELEME,EPHRATA SD,Elem,Public,64.63666667,10.48666667,158.3333333,49.44
COLUMBIA RIVER HIGH,VANCOUVER SD,High,Public,20.72,0,321,40.82333333
COLUMBIA VALLEY ELEM,EVERGREEN (CLARK)SD,Elem,Public,28.65333333,6.936666667,274,44.84333333
COLUMBIA VIRTUAL ACA,COLVILLE SD,Comprehensive,Public,22.01,0,179.6666667,4.9
COLVILLE JUNIOR HIGH,COLVILLE SD,Middle,Public,47.84333333,0,307.6666667,41.47
CONCORD ELEMENTARY S,SEATTLE PS,Elem,Public,90.815,31.53,135.5,42.48
CONCORD INTERNATIONA,SEATTLE PS,Elem,Public,90.44,16.18,136,56.78
CONCRETE ELEMENTARY,CONCRETE SD,Comprehensive,Public,59.60666667,0,273.6666667,42.32666667
CONCRETE HIGH SCHOOL,CONCRETE SD,High,Public,43.43333333,0,48,28.28
CONNELL ELEM,NORTH FRANKLIN SD,Elem,Public,73.63,28.80666667,281,40.08666667
CONNELL HIGH SCHOOL,NORTH FRANKLIN SD,High,Public,65.97,22.37,134.3333333,24.24666667
CONTINUOUS CURRICULU,EAST VALLEY (SPK)SD,Comprehensive,Public,29.04,0,115.3333333,51.73666667
CONWAY SCHOOL,CONWAY SD,Comprehensive,Public,27.09666667,5.79,285.3333333,46.44666667
