School,District,SchoolCategory,SchoolType,LowIncome,ELL,Enrollment,mathLImet
MILLENNIUM ELEMENTAR,KENT SD,Elem,Public,68.75,17.9,318.3333333,39.16666667
MILLER JUNIOR HIGH,ABERDEEN SD,Middle,Public,57.43666667,4.073333333,508.3333333,31.04
MINNEHAHA ELEMENTARY,VANCOUVER SD,Elem,Public,62.69333333,9.033333333,266,40.12333333
MINTER CREEK ELEMENT,PENINSULA SD,Elem,Public,29.89666667,0,200,49.15
MIRROR LAKE ELEMENTA,FEDERAL WAY SD,Elem,Public,65.93333333,14.62,214.6666667,65.50333333
MISSION VIEW ELEMENT,WENATCHEE SD,Elem,Public,77.95,34.95,260.6666667,52.31
MLC/DISCOVER ELEMENT,MOSES LAKE SD,Elem,Public,45.14,0,147.6666667,61.28666667
MONROE ELEMENTARY,EVERETT SD,Elem,Public,36.04,9.503333333,280,51.88
MONROE HIGH SCHOOL,MONROE SD,High,Public,20.32,3.285,447.6666667,28.42333333
MONROE MIDDLE SCHOOL,MONROE SD,Middle,Public,25.84666667,4.243333333,472.3333333,21.91666667
MONTE CRISTO ELEMENT,GRANITE FALLS SD,Elem,Public,36.84666667,0,246.3333333,30.69333333
MONTESANO JR-SR HIGH,MONTESANO SD,Comprehensive,Public,28.16333333,0,312.3333333,28.32333333
MONTICELLO MIDDLE SC,LONGVIEW SD,Middle,Public,64.99333333,4.793333333,551.6666667,23.40333333
MONTLAKE ELEMENTARY,SEATTLE PS,Elem,Public,14.84333333,0,121.3333333,57.34666667
MONUMENT ELEMENTARY,QUINCY SD,Middle,Public,85.41666667,31.71666667,592.6666667,39.88333333
MORGAN MIDDLE SCHOOL,ELLENSBURG SD,Middle,Public,32.15,3.936666667,644,36.78
MORGEN OWINGS ELEMEN,LAKE CHELAN SD,Elem,Public,63.3,20.57666667,292.6666667,71.99333333
MORRIS FORD MIDDLE S,FRANKLIN PIERCE SD,Middle,Public,51.86666667,2.84,888.3333333,43.49
MORRIS SCHOTT MIDDLE,WAHLUKE SD,Middle,Public,79.61333333,53.97666667,375.6666667,30.67333333
MORTON ELEMENTARY SC,MORTON SD,Elem,Public,57.66,0,86.66666667,29.75
MORTON JUNIOR-SENIOR,MORTON SD,Comprehensive,Public,51.65666667,0,106.6666667,14.26333333
MOSES LAKE HIGH SCHO,MOSES LAKE SD,High,Public,48.95666667,4.456666667,492,29.41333333
MOSSYROCK ELEMENTARY,MOSSYROCK SD,Elem,Public,56.29666667,5.03,195,39.06666667
MOSSYROCK JR./SR. HI,MOSSYROCK SD,Comprehensive,Public,51.25333333,7.78,157,34.38
MOUNT ADAMS MIDDLE S,MOUNT ADAMS SD,Middle,Public,87.04666667,10.01333333,143.6666667,22.95333333
MOUNT BAKER JUNIOR H,MOUNT BAKER SD,Middle,Public,56.50666667,4.883333333,349,48.98333333
MOUNT BAKER MIDDLE S,MOUNT VERNON SD,Middle,Public,59.5,16.29333333,476.6666667,36.42333333
MOUNT RAINIER HIGH S,HIGHLINE SD,High,Public,34.35333333,5.416666667,442.6666667,28.31666667
MOUNT VERNON HIGH SC,MOUNT VERNON SD,High,Public,51.81,14.75666667,466,21.32
MOUNT VIEW ELEMENTAR,HIGHLINE SD,Elem,Public,72.41,24.62,302.3333333,42.20666667
MOUNTAIN VIEW ELEM,FERNDALE SD,Elem,Public,55.36333333,4.925,225.6666667,43.15333333
MOUNTAIN VIEW ELEMEN,NORTH THURSTON PS,Elem,Public,51.43,4.45,392.3333333,59.68333333
MOUNTAIN VIEW ELEMEN,SHELTON SD,Elem,Public,53.94666667,0,323,46.68666667
MOUNTAIN VIEW HIGH S,EVERGREEN (CLARK)SD,High,Public,29.46666667,3.316666667,402,34.26333333
MOUNTAIN VIEW MIDDLE,BREMERTON SD,Middle,Public,61.26333333,2.923333333,1010,37.27333333
MOUNTAIN WAY ELEMENT,GRANITE FALLS SD,Elem,Public,40.71666667,0,297.3333333,49.98666667
MOUNTAINSIDE MIDDLE,MEAD SD,Middle,Public,26.61333333,1.35,707,47.40333333
MOUNTAINVIEW ELEMENT,WEST VLY (YAK)SD,Elem,Public,52.54666667,10.03,122.3333333,48.20333333
MOUNTLAKE TERRACE EL,EDMONDS SD,Elem,Public,47.5,10.58333333,200.6666667,39.88666667
MOUNTLAKE TERRACE HI,EDMONDS SD,High,Public,22.62666667,5.813333333,387.3333333,40.17333333
MOXEE ELEMENTARY,EAST VALLEY (YAK)SD,Elem,Public,63.41,19.24,156.6666667,53.04666667
MT BAKER MIDDLE SCHO,AUBURN SD,Middle,Public,44.47,7.426666667,897,41.46666667
MT TAHOMA,TACOMA SD,High,Public,61.71333333,4.636666667,473.6666667,20.48333333
MT. STUART ELEMENTAR,ELLENSBURG SD,Elem,Public,46.63666667,8.853333333,233.3333333,42.72666667
MUCKLESHOOT TRIBAL S,ENUMCLAW SD,Comprehensive,Alternative,26.66666667,0,88.66666667,0.66
MUIR ELEMENTARY,LAKE WASHINGTON SD,Elem,Public,44.19666667,16.62333333,231.6666667,44.51
MUKILTEO ELEMENTARY,MUKILTEO SD,Elem,Public,14.41333333,3.02,335.6666667,57.37
MULLAN ROAD ELEMENTA,SPOKANE SD,Elem,Public,14.87333333,0,303.3333333,58.53666667
MULLENIX RIDGE ELEME,SOUTH KITSAP SD,Elem,Public,21.16,0,340.3333333,58.28666667
NACHES TRAIL ELEMENT,BETHEL SD,Elem,Public,40.34,0,471.3333333,45.22
NACHES VALLEY INTERM,NACHES VALLEY SD,Elem,Public,44.005,7.78,206,34.72
NACHES VALLEY MIDDLE,NACHES VALLEY SD,Middle,Public,38.92333333,3.043333333,540.3333333,36.98333333
NAPAVINE ELEMENTARY,NAPAVINE SD,Elem,Public,51.35333333,0,246,58.70333333
NAPAVINE JR SR HIGH,NAPAVINE SD,Comprehensive,Public,36.16666667,0,174.6666667,44.64333333
NARROWS VIEW INTERME,UNIVERSITY PL SD,Middle,Public,38.42666667,2.08,671.3333333,51.34666667
NASELLE YOUTH CAMP S,NASELLE SD,High,Alternative,97.06,0,35.66666667,9.163333333
NAUTILUS ELEMENTARY,FEDERAL WAY SD,Elem,Public,41.78666667,11.73,251,55.98666667
NAVAL AVENUE ELEMENT,BREMERTON SD,Elem,Public,74.83333333,0,47.66666667,60.46333333
NEAH BAY JUNIOR/ SEN,CAPE FLATTERY SD,Comprehensive,Public,68.22666667,18.31666667,96.33333333,23.38666667
NEELY O BRIEN ELEMEN,KENT SD,Elem,Public,65.72666667,22.69666667,355,40.42666667
NELSEN MIDDLE SCHOOL,RENTON SD,Middle,Public,46.82333333,7.183333333,1084,31.59333333
NELSON ELEMENTARY SC,BETHEL SD,Elem,Public,25.2,0,373,54.26
NESPELEM ELEMENTARY,NESPELEM SD,Comprehensive,Public,83.34333333,0,84,18.02333333
NEWCASTLE ELEMENTARY,ISSAQUAH SD,Elem,Public,9.006666667,5.11,231.3333333,61.46
NEWPORT HEIGHTS ELEM,BELLEVUE SD,Elem,Public,19.77333333,7.613333333,280.6666667,61.36333333
NEWPORT HIGH SCHOOL,NEWPORT SD,High,Public,51.86666667,0,90,52.78333333
NEWPORT HOME LINK,NEWPORT SD,Comprehensive,Public,71.425,0,21,6.665
NEWPORT SENIOR HIGH,BELLEVUE SD,High,Public,8.786666667,0,421,62.3
NINE MILE FALLS ELEM,NINE MILE FALLS SD,Elem,Public,23.25666667,0,96,76.48
NISQUALLY MIDDLE SCH,NORTH THURSTON PS,Middle,Public,47.87,2.48,581.6666667,31.13333333
NOB HILL ELEMENTARY,YAKIMA SD,Elem,Public,52.89666667,7.856666667,221.6666667,50.79
NOOKSACK ELEMENTARY,NOOKSACK SD,Elem,Public,58.01,13.27,140.6666667,76.82666667
NOOKSACK VALLEY MIDD,NOOKSACK SD,Middle,Public,54.73333333,7.06,364,51.79666667
NORTH BEACH ELEMENTA,SEATTLE PS,Elem,Public,10.7,0,145,60.66
NORTH BEACH JUNIOR H,NORTH BEACH SD,Middle,Public,54.87666667,0,113.3333333,26.73666667
NORTH BELLINGHAM ELE,FERNDALE SD,Elem,Public,40.06333333,4.66,272.6666667,64.96
NORTH ELEMENTARY,MOSES LAKE SD,Elem,Public,87.18,12.86666667,171.6666667,41.54666667
NORTH HILL ELEMENTAR,HIGHLINE SD,Elem,Public,43.91666667,7.943333333,339.6666667,40.96
NORTH MIDDLE SCHOOL,EVERETT SD,Middle,Public,62.13333333,12.06333333,674.6666667,30.41666667
NORTH PINES MIDDLE S,CENTRAL VALLEY SD,Middle,Public,66.32,4.733333333,516,34.7
NORTH STAR ELEMENTAR,BETHEL SD,Elem,Public,38.73,0,390.6666667,54.3
NORTH THURSTON HIGH,NORTH THURSTON PS,High,Public,34.51,6.24,362.3333333,29.01
NORTH WHIDBEY MIDDLE,OAK HARBOR SD,Middle,Public,42.03333333,2.63,597.6666667,32.87666667
NORTHEAST TACOMA,TACOMA SD,Elem,Public,42.68666667,11.09666667,247.6666667,40.50333333
NORTHERN HEIGHTS ELE,BELLINGHAM SD,Elem,Public,36.84666667,8.496666667,226.3333333,41.50333333
NORTHGATE ELEMENTARY,SEATTLE PS,Elem,Public,85.02333333,37.28333333,115.6666667,34.41333333
NORTHLAKE ELEMENTARY,LONGVIEW SD,Elem,Public,57.69666667,11.22666667,200,39.79333333
NORTHPORT ELEMENTARY,NORTHPORT SD,Comprehensive,Public,61.47333333,0,108.6666667,39.70333333
NORTHPORT HIGH SCHOO,NORTHPORT SD,High,Public,61.335,0,18.33333333,13.845
NORTHSHORE JR HIGH,NORTHSHORE SD,Middle,Public,16.09,3.56,493,44.75333333
NORTHWOOD MIDDLE SCH,KENT SD,Middle,Public,22.99333333,3.366666667,652,47.54333333
NOVA HIGH SCHOOL,SEATTLE PS,High,Alternative,24.29,0,68,11.76
OAK HEIGHTS ELEMENTA,EDMONDS SD,Elem,Public,28.12333333,7.026666667,294,50.27
OAKLAND BAY JUNIOR H,SHELTON SD,Middle,Public,52.69,3.52,298.6666667,29.12333333
OAKVIEW ELEMENTARY S,CENTRALIA SD,Elem,Public,60.37333333,4.576666667,420.6666667,41.09666667
OAKVILLE ELEMENTARY,OAKVILLE SD,Elem,Public,83.96666667,0,77,20.19666667
OAKVILLE HIGH SCHOOL,OAKVILLE SD,Comprehensive,Public,73.41,0,76,16.18666667
OAKWOOD ELEMENTARY S,CLOVER PARK SD,Elem,Public,90.53666667,27.7,133.3333333,43.35333333
OCEAN SHORES ELEMENT,NORTH BEACH SD,Elem,Public,54.60666667,0,163.3333333,47.07
OCOSTA ELEMENTARY SC,OCOSTA SD,Elem,Public,61.83666667,5.72,215.6666667,43.04
ODESSA HIGH SCHOOL,ODESSA SD,Comprehensive,Public,37.94333333,0,63.33333333,37.01666667
ODLE MIDDLE SCHOOL,BELLEVUE SD,Middle,Public,22.31666667,0,681.6666667,41.04666667
ODYSSEY ELEMENTARY,MUKILTEO SD,Elem,Public,58.73,17.16333333,365,63.82
OFF CAMPUS,CENTRAL KITSAP SD,Comprehensive,Alternative,15.33,0,144.3333333,33.01333333
OKANOGAN MIDDLE SCHO,OKANOGAN SD,Middle,Public,62.58,7.173333333,219.6666667,24.01666667
OLIVIA PARK ELEMENTA,MUKILTEO SD,Elem,Public,67.05,21.18333333,297.3333333,52.08666667
OLYMPIC ELEMENTARY,CHEHALIS SD,Elem,Public,45.48666667,2.983333333,402.3333333,46.68
OLYMPIC ELEMENTARY S,LONGVIEW SD,Elem,Public,66.35,7.41,174.3333333,39.38666667
OLYMPIC HILLS ELEMEN,SEATTLE PS,Elem,Public,78.75333333,26.73,93,45.90666667
OLYMPIC MIDDLE SCHOO,AUBURN SD,Middle,Public,62.97333333,11.78,734.6666667,30.33666667
OLYMPIC MIDDLE SCHOO,SHELTON SD,Middle,Public,55.64666667,5.513333333,520,33.45
OLYMPIC VIEW ELEM,OAK HARBOR SD,Elem,Public,53.61333333,5.445,218,52.81
OLYMPIC VIEW ELEMENT,FEDERAL WAY SD,Elem,Public,78.99333333,23.24,198,58.49666667
OLYMPIC VIEW ELEMENT,NORTH THURSTON PS,Elem,Public,47.12333333,3.18,336.3333333,53.38
OLYMPIC VIEW MIDDLE,MUKILTEO SD,Middle,Public,35.29333333,5.293333333,818.6666667,37.22
OMAK MIDDLE SCHOOL,OMAK SD,Middle,Public,59.8,4.606666667,292.6666667,33.25333333
ORCAS ISLAND MIDDLE,ORCAS ISLAND SD,Middle,Public,24.89666667,0,63.33333333,60.51333333
ORCHARD MIDDLE SCHOO,WENATCHEE SD,Middle,Public,65.11666667,20.69,476.6666667,35.37666667
ORCHARDS ELEMENTARY,EVERGREEN (CLARK)SD,Elem,Public,69.95666667,10.46333333,295.3333333,44.91
ORDWAY ELEMENTARY,BAINBRIDGE IS SD,Elem,Public,9.88,0,169,50.52666667
ORIENT ELEM,ORIENT SD,Comprehensive,Public,65.43,0,36.33333333,48.94
ORONDO ELEMENTARY,ORONDO SD,Elem,Public,100,31.78,118,35.75
ORONDO ELEMENTARY AN,ORONDO SD,Elem,Public,100,38.14,118,30.63
OROVILLE ELEMENTARY,OROVILLE SD,Elem,Public,73.11,13.26,178.3333333,24.99
OROVILLE MIDDLE-HIGH,OROVILLE SD,Comprehensive,Public,61.08,8.735,153.6666667,19.96
ORTING HIGH SCHOOL,ORTING SD,High,Public,25.78333333,0,179,30.88666667
OSBORN ELEMENTARY,CASCADE SD,Elem,Public,50.48333333,14.30666667,281,55.69333333
OTHELLO HIGH SCHOOL,OTHELLO SD,High,Public,71.72,19.95333333,264,26.44333333
OTIS ORCHARDS ELEMEN,EAST VALLEY (SPK)SD,Elem,Public,46.38,0,142.3333333,59.5
OUTLOOK ELEMENTARY S,SUNNYSIDE SD,Elem,Public,87.51333333,37.51666667,292.3333333,42.26
PACIFIC BEACH ELEMEN,NORTH BEACH SD,Elem,Public,75.07,0,53.66666667,34.30333333
PACIFIC MIDDLE SCHOO,EVERGREEN (CLARK)SD,Middle,Public,35.96666667,3.983333333,1100,41.43
PACIFIC MIDDLE SCHOO,HIGHLINE SD,Middle,Public,41.8,8.916666667,699,28.65666667
PANTHER LAKE ELEMENT,FEDERAL WAY SD,Elem,Public,47.32333333,9.686666667,193,60.75666667
PANTHER LAKE ELEMENT,KENT SD,Elem,Public,69.23,22.79,311,44.54333333
PARENT PARTNER PROGR,MARY WALKER SD,Comprehensive,Alternative,68.97,0,42.66666667,12.16666667
PARK AVENUE CENTER,TACOMA SD,Comprehensive,Alternative,73.08,0,32,4.476666667
PARK LODGE ELEMENTAR,CLOVER PARK SD,Elem,Public,61.30666667,5.5,184,42.17
PARK MIDDLE SCHOOL,KENNEWICK SD,Middle,Public,66.28666667,17.97666667,769.6666667,29.93666667
PARK ORCHARD ELEMENT,KENT SD,Elem,Public,73.54666667,22.70333333,265,48.41
PARK PLACE MIDDLE SC,MONROE SD,Middle,Public,29.37,5.803333333,557,26.74
PARKSIDE ELEMENTARY,HIGHLINE SD,Elem,Public,49.35,11.16333333,320,40.82333333
PARKWAY SCHOOL,EPHRATA SD,Middle,Public,54.29,6.663333333,343.3333333,43.04
PARKWOOD ELEMENTARY,SHORELINE SD,Elem,Public,42.89,11.73333333,219.3333333,63.59
PASCHAL SHERMAN,OMAK SD,Comprehensive,Alternative,64.73333333,0,94,19.56
PASCO SENIOR HIGH SC,PASCO SD,High,Public,67.91666667,20.17,710,22.18333333
PATEROS ELEMENTARY,PATEROS SD,Elem,Public,69.45,11.96,88.66666667,57.13
PATERSON ELEMENTARY,PATERSON SD,Comprehensive,Public,67.38,25.34,68.66666667,40.84333333
PAUL RUMBURG ELEMENT,ENTIAT SD,Elem,Public,64.67666667,10.525,103.6666667,49.68666667
PE ELL SCHOOL,PE ELL SD,Comprehensive,Public,60.57666667,0,175,42.53
PENINSULA ELEMENTARY,MOSES LAKE SD,Elem,Public,69.94666667,8.07,267,51.45
PENINSULA HIGH SCHOO,PENINSULA SD,High,Public,25.04666667,0,362.3333333,36.49333333
PENNY CREEK ELEMENTA,EVERETT SD,Elem,Public,24.65,3.02,377,44.29333333
PERRY G KEITHLEY MID,FRANKLIN PIERCE SD,Middle,Public,64.90333333,7.043333333,835,26.14666667
PETER G SCHMIDT ELEM,TUMWATER SD,Elem,Public,36.46333333,3.085,344.3333333,48.02666667
PETER S OGDEN ELEMEN,VANCOUVER SD,Elem,Public,78.11,18.62666667,231.6666667,41.48333333
PHANTOM LAKE ELEMENT,BELLEVUE SD,Elem,Public,30.21,9.49,168.6666667,52.29
PICNIC POINT ELEMENT,MUKILTEO SD,Elem,Public,36.58666667,11.39,247.3333333,52.77
PINE LAKE MIDDLE SCH,ISSAQUAH SD,Middle,Public,4.796666667,1.07,927,59.07
PINE TREE ELEMENTARY,KENT SD,Elem,Public,48.96666667,15.37333333,312,52.55
PINECREST ELEMENTARY,CENTRAL KITSAP SD,Elem,Public,43.91,4.88,280,51.54333333
PINEWOOD ELEMENTARY,MARYSVILLE SD,Elem,Public,39.82,4.695,303.6666667,41.76
PIONEER ELEMENTARY,ARLINGTON SD,Elem,Public,20.54333333,4.11,278.6666667,53.6
PIONEER ELEMENTARY,QUINCY SD,Elem,Public,85.97666667,42.15333333,179,57.26333333
PIONEER ELEMENTARY S,AUBURN SD,Elem,Public,72.77333333,26.05333333,185,61.39
PIONEER ELEMENTARY S,EVERGREEN (CLARK)SD,Elem,Public,38.98,8.966666667,369.6666667,44.02
PIONEER ELEMENTARY S,SUNNYSIDE SD,Elem,Public,88.64333333,25.33,417.3333333,46.03333333
PIONEER INTERMEDIATE,PIONEER SD,Middle,Public,53.79666667,0,415.3333333,23.50666667
PIONEER MIDDLE SCHOO,WALLA WALLA SD,Middle,Public,46.81666667,3.67,617.3333333,35.08666667
PIONEER MIDDLE SCHOO,WENATCHEE SD,Middle,Public,61.63,16.25,596.3333333,33.32333333
PIONEER PRIMARY SCHO,PIONEER SD,Elem,Public,54.9,0,85.66666667,44.37666667
PIONEER VALLEY ELEME,BETHEL SD,Elem,Public,31.80333333,0,463,39.72333333
PLEASANT GLADE ELEME,NORTH THURSTON PS,Elem,Public,63.54666667,7.093333333,287.6666667,42.43
PLEASANT VALLEY MIDD,BATTLE GROUND SD,Middle,Public,29.30333333,3.403333333,441.3333333,49.98666667
PLEASANT VALLEY PRIM,BATTLE GROUND SD,Elem,Public,37.93,8.833333333,204.3333333,43.08333333
POINT DEFIANCE,TACOMA SD,Elem,Public,54.33333333,8.65,190.6666667,45.11
POMEROY JR SR HIGH S,POMEROY SD,Comprehensive,Public,43.89333333,0,84,25.4
PONDEROSA ELEMENTARY,CENTRAL VALLEY SD,Elem,Public,33.56666667,0,189.6666667,56.88
POPE ELEMENTARY,PUYALLUP SD,Elem,Public,26.25333333,2.655,365,48.60333333
PORT ANGELES HIGH SC,PORT ANGELES SD,High,Public,32.51666667,0,336.6666667,32.72666667
PORT SUSAN MIDDLE SC,STANWOOD SD,Middle,Public,24.65,2.83,542,43.27666667
POST MIDDLE SCHOOL,ARLINGTON SD,Middle,Public,26.32333333,2.04,599.6666667,44.28
POULSBO ELEMENTARY S,NORTH KITSAP SD,Elem,Public,29.63,5.75,244,49.55333333
POULSBO MIDDLE SCHOO,NORTH KITSAP SD,Middle,Public,28.06,2.65,779.6666667,41.44
PRAIRIE VIEW ELEMENT,MEAD SD,Elem,Public,16.54333333,4.35,305.6666667,73
PRESIDENTS ELEMENTAR,ARLINGTON SD,Elem,Public,29.35,3.565,294,49.16
PRESTON HALL MIDDLE,WAITSBURG SD,Middle,Public,42.03333333,0,88,36.49666667
PROGRESS ELEMENTARY,CENTRAL VALLEY SD,Elem,Public,61.13,5.975,163.6666667,53.84333333
PROSPECT POINT ELEME,WALLA WALLA SD,Elem,Public,40.19666667,10.445,263.6666667,36.78333333
PROSSER HEIGHTS ELEM,PROSSER SD,Elem,Public,66.50666667,22.64333333,497.6666667,64.13666667
PROSSER HIGH SCHOOL,PROSSER SD,High,Public,50.38666667,7.433333333,235.6666667,29.11666667
PUESTA DEL SOL ELEME,BELLEVUE SD,Elem,Public,5.626666667,0,224.3333333,74.49666667
PURDY ELEMENTARY SCH,PENINSULA SD,Elem,Public,18.8,0,306.3333333,54.11333333
PUYALLUP HIGH SCHOOL,PUYALLUP SD,High,Public,23.31666667,2.82,543.6666667,31.32666667
QUIL CEDA ELEMENTARY,MARYSVILLE SD,Elem,Public,66.80666667,10.88666667,165,22.82
QUILCENE HIGH AND EL,QUILCENE SD,Comprehensive,Public,49.39333333,0,118.6666667,34.43
QUINCY HIGH SCHOOL,QUINCY SD,High,Public,69.77,12.22,154.3333333,38.48
QUINCY JUNIOR HIGH,QUINCY SD,Middle,Public,82.43333333,21.44666667,370.6666667,30.34666667
RAINIER BEACH HIGH S,SEATTLE PS,High,Public,70.90333333,16.67,65.66666667,23.47333333
RAINIER ELEMENTARY S,RAINIER SD,Elem,Public,34.74666667,0,244,40.90333333
RAINIER MIDDLE SCHOO,AUBURN SD,Middle,Public,39.21333333,4.553333333,815.3333333,43.55666667
RAINIER MIDDLE SCHOO,RAINIER SD,Middle,Public,35.46333333,0,187.6666667,39.74333333
RAINIER SENIOR HIGH,RAINIER SD,High,Public,29.20333333,0,97,33.44666667
RAINIER VIEW ELEMENT,FEDERAL WAY SD,Elem,Public,51.72,10.11,189,56.73333333
RAYMOND ELEMENTARY S,RAYMOND SD,Elem,Public,60.07,10.99,162,44.01
RAYMOND JR SR HIGH S,RAYMOND SD,Comprehensive,Public,63.29,8.66,136.6666667,31.44
REARDAN ELEM & MIDDL,REARDAN-EDWALL SD,Comprehensive,Public,38.71,0,310,38.71
REARDAN ELEMENTARY S,REARDAN-EDWALL SD,Comprehensive,Public,47.21,0,197,27.47
RED ROCK ELEMENTARY,ROYAL SD,Elem,Public,82.75,43.73333333,356.3333333,44.44333333
REDMOND ELEMENTARY,LAKE WASHINGTON SD,Elem,Public,36.98666667,8.31,237.3333333,42.13333333
REDMOND JUNIOR HIGH,LAKE WASHINGTON SD,Middle,Public,14.74333333,4.463333333,564,39.09
REED,TACOMA SD,Elem,Public,81.89666667,11.24666667,223.3333333,33.73666667
REGAL ELEMENTARY,SPOKANE SD,Elem,Public,83.39,7.226666667,240.3333333,48.86333333
RENTON ACADEMY,RENTON SD,Comprehensive,Alternative,87.1,0,24.33333333,8.27
RENTON PARK ELEMENTA,RENTON SD,Elem,Public,52.67,9.903333333,225,40.10666667
RENTON SENIOR HIGH S,RENTON SD,High,Public,55.79666667,11.49666667,284,25.31333333
REPUBLIC ELEMENTARY,REPUBLIC SD,Elem,Public,58.01333333,0,86.66666667,42.32333333
RIDGE VIEW ELEMENTAR,KENNEWICK SD,Elem,Public,13.61333333,3.79,307.3333333,64.20333333
RIDGECREST ELEMENTAR,SHORELINE SD,Elem,Public,23.34333333,0,313.3333333,41.79666667
RIDGETOP JUNIOR HIGH,CENTRAL KITSAP SD,Middle,Public,30.41666667,1.67,550.6666667,51.82666667
RIDGEVIEW ELEMENTARY,YAKIMA SD,Elem,Public,90.77333333,23.44666667,255.3333333,47.73333333
RIDGEWOOD ELEMENTARY,KENT SD,Elem,Public,14.22,4.575,315.6666667,54.78
RITZVILLE GRADE SCHO,RITZVILLE SD,Comprehensive,Public,38.69666667,0,153.6666667,63.25
RITZVILLE HIGH SCHOO,RITZVILLE SD,High,Public,37.93,0,30.66666667,30
RIVERSIDE ELEMENTARY,RIVERSIDE SD,Elem,Public,50.5,0,256,50.22
RIVERSIDE HIGH SCHOO,RIVERSIDE SD,High,Public,41.82,0,140.3333333,30.65333333
RIVERSIDE MIDDLE SCH,RIVERSIDE SD,Middle,Public,48.75,0,362.3333333,47.56
RIVERVIEW ELEMENTARY,EVERGREEN (CLARK)SD,Elem,Public,36.07333333,6.496666667,226.3333333,48.28
ROBERT E LEE ELEMENT,EASTMONT SD,Elem,Public,65.50666667,14.19666667,192.3333333,57.99666667
ROBERT FROST ELEMENT,PASCO SD,Elem,Public,90.77,63.18666667,272.6666667,30.13333333
ROBERT GRAY ELEMENTA,ABERDEEN SD,Elem,Public,73.49,7.69,180.5,33.09
ROBERT L OLDS JUNIOR,NORTH FRANKLIN SD,Middle,Public,71.42333333,25.54666667,285.3333333,24.81666667
ROBERT S LINCE ELEME,SELAH SD,Elem,Public,43.72,7.69,303.6666667,43.30333333
ROBERTSON ELEMENTARY,YAKIMA SD,Elem,Public,87.21666667,17.65333333,237,38.08333333
ROCHESTER MIDDLE SCH,ROCHESTER SD,Middle,Public,49.46666667,2.703333333,497.6666667,42.65666667
ROCK CREEK ELEMENTAR,TAHOMA SD,Elem,Public,7.313333333,0,445.3333333,72.18
ROCK ISLAND ELEMENTA,EASTMONT SD,Elem,Public,85.36666667,32.27,82.33333333,82.05
ROCKWELL ELEMENTARY,LAKE WASHINGTON SD,Elem,Public,6.913333333,6.566666667,280,63.50666667
ROCKY RIDGE ELEMENTA,BETHEL SD,Elem,Public,42.42666667,7.1,366.6666667,41.85333333
ROGERS HIGH SCHOOL,SPOKANE SD,High,Public,70.58333333,6.75,451.3333333,25.12666667
ROOM NINE COMMUNITY,SHORELINE SD,Comprehensive,Alternative,31.43,0,86.66666667,39.67
ROOSEVELT,TACOMA SD,Elem,Public,89.56,14.57666667,106,29.82
ROOSEVELT ELEMENTARY,BELLINGHAM SD,Elem,Public,62.16333333,10.89,187.6666667,45.83
ROOSEVELT ELEMENTARY,GRANGER SD,Elem,Public,92.47666667,46.04333333,238.6666667,38.12
ROOSEVELT ELEMENTARY,PORT ANGELES SD,Elem,Public,47.94,0,307.3333333,53.92333333
ROOSEVELT ELEMENTARY,SPOKANE SD,Elem,Public,57.43,10.38,237.6666667,44.47333333
ROOSEVELT ELEMENTARY,VANCOUVER SD,Elem,Public,76.35333333,26.49333333,317.3333333,43.35
ROOSEVELT ELEMENTARY,YAKIMA SD,Elem,Public,85.70333333,21.10333333,224,34.90666667
ROOSEVELT HIGH SCHOO,SEATTLE PS,High,Public,18.20666667,6.87,411.3333333,44.95666667
ROSA PARKS ELEMENTAR,LAKE WASHINGTON SD,Elem,Public,5.48,0,266.6666667,56.25
ROSE HILL ELEMENTARY,LAKE WASHINGTON SD,Elem,Public,38.11333333,12.85333333,212,46.06
ROSE HILL JUNIOR HIG,LAKE WASHINGTON SD,Middle,Public,21.30333333,3.47,298.3333333,37.57666667
ROSE VALLEY ELEMENTA,KELSO SD,Elem,Public,27.00666667,0,72.66666667,47.97666667
ROWENA CHESS ELEMENT,PASCO SD,Elem,Public,97.27666667,63.32,320.3333333,18.49
ROXHILL ELEMENTARY S,SEATTLE PS,Elem,Public,80.36333333,29.96666667,117,39.23
ROY ELEMENTARY,BETHEL SD,Elem,Public,50.05666667,0,172,27.92666667
ROYAL HIGH SCHOOL,ROYAL SD,High,Public,68.75333333,16.15,100.6666667,33.57666667
ROYAL MIDDLE SCHOOL,ROYAL SD,Middle,Public,77.92,26.67666667,325.3333333,31.65333333
RUSH ELEMENTARY,LAKE WASHINGTON SD,Elem,Public,10.69666667,6.856666667,204,24.20666667
RUTH LIVINGSTON ELEM,PASCO SD,Elem,Public,50.02,12.49333333,446,55.26666667
SACAJAWEA ELEMENTARY,RICHLAND SD,Elem,Public,37.97,5.42,234.3333333,39.87666667
SACAJAWEA ELEMENTARY,SEATTLE PS,Elem,Public,27.29333333,12.67333333,154.6666667,48.29
SACAJAWEA MIDDLE SCH,FEDERAL WAY SD,Middle,Public,52.25333333,9.023333333,728.3333333,45.11666667
SACAJAWEA MIDDLE SCH,SPOKANE SD,Middle,Public,30.13,2.906666667,782.3333333,45.66333333
SADDLE MOUNTAIN INTE,WAHLUKE SD,Elem,Public,77.32,67.32333333,314,49.68
SADIE HALSTEAD MIDDL,NEWPORT SD,Middle,Public,58.59,0,331.3333333,49.79333333
